,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,Cit9,Unkn,Cit9,969.142081270141,,Unknown,Unassigned,False
,A02,SYBR,Cit9,Unkn,Cit9,1102.73445702774,,Unknown,Unassigned,False
,A03,SYBR,Cit9,Unkn,Cit9,1080.35860528535,,Unknown,Unassigned,False
,A04,SYBR,mCh,Unkn,Cit9,1193.57418907104,,Unknown,Unassigned,False
,A05,SYBR,mCh,Unkn,Cit9,1156.04320270999,,Unknown,Unassigned,False
,A06,SYBR,mCh,Unkn,Cit9,1252.38252716386,,Unknown,Unassigned,False
,A07,SYBR,CitMax,Unkn,CitMax,1046.35930773019,,Unknown,Unassigned,False
,A08,SYBR,CitMax,Unkn,CitMax,1029.42773642052,,Unknown,Unassigned,False
,A09,SYBR,CitMax,Unkn,CitMax,1024.60472155299,,Unknown,Unassigned,False
,A10,SYBR,mCh,Unkn,CitMax,1099.2299425466,,Unknown,Unassigned,False
,A11,SYBR,mCh,Unkn,CitMax,900.582675683463,,Unknown,Unassigned,False
,A12,SYBR,mCh,Unkn,CitMax,1024.77906372214,,Unknown,Unassigned,False
,B01,SYBR,Cit9,Unkn,Cit9,1050.50423946948,,Unknown,Unassigned,False
,B02,SYBR,Cit9,Unkn,Cit9,1120.01417149368,,Unknown,Unassigned,False
,B03,SYBR,Cit9,Unkn,Cit9,1139.32962321022,,Unknown,Unassigned,False
,B04,SYBR,mCh,Unkn,Cit9,1303.9772018861,,Unknown,Unassigned,False
,B05,SYBR,mCh,Unkn,Cit9,1318.28490494311,,Unknown,Unassigned,False
,B06,SYBR,mCh,Unkn,Cit9,1416.18459400752,,Unknown,Unassigned,False
,B07,SYBR,CitMax,Unkn,CitMax,1173.19231141045,,Unknown,Unassigned,False
,B08,SYBR,CitMax,Unkn,CitMax,1130.0209322343,,Unknown,Unassigned,False
,B09,SYBR,CitMax,Unkn,CitMax,1120.0232895267,,Unknown,Unassigned,False
,B10,SYBR,mCh,Unkn,CitMax,1228.33147589848,,Unknown,Unassigned,False
,B11,SYBR,mCh,Unkn,CitMax,1103.64065893258,,Unknown,Unassigned,False
,B12,SYBR,mCh,Unkn,CitMax,1027.0542266219,,Unknown,Unassigned,False
,C01,SYBR,Cit9,Unkn,Cit9,1037.73598448294,,Unknown,Unassigned,False
,C02,SYBR,Cit9,Unkn,Cit9,1181.82521805162,,Unknown,Unassigned,False
,C03,SYBR,Cit9,Unkn,Cit9,1203.68158823335,,Unknown,Unassigned,False
,C04,SYBR,mCh,Unkn,Cit9,1381.86818612667,,Unknown,Unassigned,False
,C05,SYBR,mCh,Unkn,Cit9,1414.38635559668,,Unknown,Unassigned,False
,C06,SYBR,mCh,Unkn,Cit9,1370.52196279611,,Unknown,Unassigned,False
,C07,SYBR,CitMax,Unkn,CitMax,1239.93390139449,,Unknown,Unassigned,False
,C08,SYBR,CitMax,Unkn,CitMax,1113.11566675364,,Unknown,Unassigned,False
,C09,SYBR,CitMax,Unkn,CitMax,1108.18624370424,,Unknown,Unassigned,False
,C10,SYBR,mCh,Unkn,CitMax,1214.62594928141,,Unknown,Unassigned,False
,C11,SYBR,mCh,Unkn,CitMax,1213.4448841174,,Unknown,Unassigned,False
,C12,SYBR,mCh,Unkn,CitMax,1055.40008108581,,Unknown,Unassigned,False
,D01,SYBR,Cit9,Unkn,J-Cit9,1041.86687475348,,Unknown,Unassigned,False
,D02,SYBR,Cit9,Unkn,J-Cit9,1206.62709341342,,Unknown,Unassigned,False
,D03,SYBR,Cit9,Unkn,J-Cit9,1154.86832615908,,Unknown,Unassigned,False
,D04,SYBR,mCh,Unkn,J-Cit9,1094.76864492807,,Unknown,Unassigned,False
,D05,SYBR,mCh,Unkn,J-Cit9,1370.43398382993,,Unknown,Unassigned,False
,D06,SYBR,mCh,Unkn,J-Cit9,1411.86080591311,,Unknown,Unassigned,False
,D07,SYBR,CitMax,Unkn,J-CitMax,1235.195939159,,Unknown,Unassigned,False
,D08,SYBR,CitMax,Unkn,J-CitMax,1228.48462896721,,Unknown,Unassigned,False
,D09,SYBR,CitMax,Unkn,J-CitMax,1191.47150691225,,Unknown,Unassigned,False
,D10,SYBR,mCh,Unkn,J-CitMax,1212.09701210783,,Unknown,Unassigned,False
,D11,SYBR,mCh,Unkn,J-CitMax,1233.89736899682,,Unknown,Unassigned,False
,D12,SYBR,mCh,Unkn,J-CitMax,1270.78087625781,,Unknown,Unassigned,False
,E01,SYBR,Cit9,Unkn,J-Cit9,921.799447917788,,Unknown,Unassigned,False
,E02,SYBR,Cit9,Unkn,J-Cit9,1142.88261331368,,Unknown,Unassigned,False
,E03,SYBR,Cit9,Unkn,J-Cit9,1183.54877249419,,Unknown,Unassigned,False
,E04,SYBR,mCh,Unkn,J-Cit9,1230.49734106242,,Unknown,Unassigned,False
,E05,SYBR,mCh,Unkn,J-Cit9,1374.01466624214,,Unknown,Unassigned,False
,E06,SYBR,mCh,Unkn,J-Cit9,1353.09127259479,,Unknown,Unassigned,False
,E07,SYBR,CitMax,Unkn,J-CitMax,1221.50478382754,,Unknown,Unassigned,False
,E08,SYBR,CitMax,Unkn,J-CitMax,1157.72835664606,,Unknown,Unassigned,False
,E09,SYBR,CitMax,Unkn,J-CitMax,1114.94853289135,,Unknown,Unassigned,False
,E10,SYBR,mCh,Unkn,J-CitMax,1272.61843992535,,Unknown,Unassigned,False
,E11,SYBR,mCh,Unkn,J-CitMax,1199.61637480364,,Unknown,Unassigned,False
,E12,SYBR,mCh,Unkn,J-CitMax,1208.07640338762,,Unknown,Unassigned,False
,F01,SYBR,Cit9,Unkn,J-Cit9,903.396716895502,,Unknown,Unassigned,False
,F02,SYBR,Cit9,Unkn,J-Cit9,1197.22463443089,,Unknown,Unassigned,False
,F03,SYBR,Cit9,Unkn,J-Cit9,1178.78962728188,,Unknown,Unassigned,False
,F04,SYBR,mCh,Unkn,J-Cit9,1325.71555193654,,Unknown,Unassigned,False
,F05,SYBR,mCh,Unkn,J-Cit9,1351.29565421229,,Unknown,Unassigned,False
,F06,SYBR,mCh,Unkn,J-Cit9,1377.06207073193,,Unknown,Unassigned,False
,F07,SYBR,CitMax,Unkn,J-CitMax,1218.12480421553,,Unknown,Unassigned,False
,F08,SYBR,CitMax,Unkn,J-CitMax,1144.44594489307,,Unknown,Unassigned,False
,F09,SYBR,CitMax,Unkn,J-CitMax,1085.7062261381,,Unknown,Unassigned,False
,F10,SYBR,mCh,Unkn,J-CitMax,1331.22343532489,,Unknown,Unassigned,False
,F11,SYBR,mCh,Unkn,J-CitMax,1313.10164569185,,Unknown,Unassigned,False
,F12,SYBR,mCh,Unkn,J-CitMax,1214.30103180141,,Unknown,Unassigned,False
,H01,SYBR,Cit9,NTC,NTC,-3.03504431566607,,NTC,Unassigned,False
,H02,SYBR,Cit9,NTC,NTC,-0.817407062237362,,NTC,Unassigned,False
,H03,SYBR,Cit9,NTC,NTC,-0.540758332640144,,NTC,Unassigned,False
,H04,SYBR,CitMax,NTC,NTC,-1.08831272318748,,NTC,Unassigned,False
,H05,SYBR,CitMax,NTC,NTC,-0.901732365431053,,NTC,Unassigned,False
,H06,SYBR,CitMax,NTC,NTC,-0.977225825210826,,NTC,Unassigned,False
,H07,SYBR,mCh,NTC,NTC,0.433472708718546,,NTC,Unassigned,False
,H08,SYBR,mCh,NTC,NTC,-0.24669873263374,,NTC,Unassigned,False
,H09,SYBR,mCh,NTC,NTC,-0.562646625892921,,NTC,Unassigned,False
